id,name,features
69725,T**** K****** B******,0|Bandar Lampung|Hotel|Bandar Lampung
74472,O** 9**** N** C******* A*** H****,2|Bogor|Hotel|Bogor
84595,N***** I**** H****,3|Balikpapan|Hotel|Balikpapan City Center
83622,M**** E******* P*** a** L**** (******** E******* S***** P*** L*****,5|Bali|Resort|Ubud
74668,R******** A******** G**** K***** L***** - P****** T**** B****** N****,1|Bekasi|Hotel|Bekasi Selatan
73831,E***** R******** B*** T**** 37 - F***** O*** By Z***,2|Jakarta|Guest House|Gambir - Central Jakarta
71322,L****** G********* By Z***,2|Padang|Guest House|Padang Barat
77870,A****** S****** L***,2|Semarang|Hotel|Simpang Lima
69906,G**** H**** N*****,0|Kalimantan|Hotel|Kalimantan
79457,O** 9**** G**** M******* S******,2|Sidoarjo|Hotel|Sidoarjo
74725,O** 6** B**** K***** H****,2|Bekasi|Hotel|Bekasi Timur
79529,C****** O 1** K*** R********,4|Surabaya|Hotel|Surabaya
83936,P***** B**** I****,1|Bali|Hotel|Denpasar
71132,P********* M****** 2 T***** S******,1|Samosir|Hotel|Samosir
82164,G**** M****** B*** S******* H****,5|Bali|Hotel|badung
69959,H**** D*****,0|Kalimantan|Hotel|Kalimantan
71688,R******* n*** J**** S******** L**** L******,1|Lubuk Linggau|Hotel|Lubuklinggau Timur
76670,W**** L*******,0|Wonosobo|Hotel|Wonosobo
77894,R******* n*** U********** D*********,2|Semarang|Hotel|Banyumanik
84210,B*** M***** T********,3|Lombok|Hotel|Gili Trawangan
76352,R******* n*** P***** B**** P********** 2,2|Pangandaran|Hotel|Pangandaran
84094,D*** L***** R*****,3|Lombok|Hotel|senggigi
85253,K***** L****,2|Labuan Bajo|Hotel|Labuan Bajo
79817,O** 3*** K******* S****** 21 S******,2|Surabaya|Hotel|Surabaya
75428,P******** H****,3|Bandung|Hotel|Cihampelas
76870,L***** K****** P***** & G***** P****** By Z***,2|Yogyakarta|Hotel|Bantul
83040,B*** S****,2|Bali|Hotel|Denpasar
71784,R******* @ C****** P**** J****,2|Jambi|Hotel|Jelutung
71950,H******* S***,0|Batam|Hotel|Lubuk Baja
75151,I***** R******** S******** R*********,2|Bandung|Hotel|Bandung
69690,K**** H****,0|Banda Aceh|Hotel|Banda Aceh
74232,U S*** A*** B****,2|Jakarta|Hotel|Tebet/Casablanca/Manggarai - South Jakarta
77433,O** 1*** Al A**** H*******,2|Yogyakarta|Hostel/Backpacker accommodation|Umbulharjo
81409,V**** S**** By Z***,2|Bali|Bed & breakfast|Bali
82097,La V** V**** S******* by I** V** H**********,4|Bali|Hotel|Legian
73597,I*** B***** J****** T**** A****,2|Jakarta|Hotel|Jakarta
84913,A****** L***** M*******,4|Makassar|Hotel|LOSARI
74409,C O** H**** P****** p****** by A**********,2|Jakarta|Hotel|PULO MAS
77186,R**** M***** Y****,1|Yogyakarta|Hotel|Sleman
71724,H**** G**** S****,1|Lahat|Hotel|Lahat City Center
75647,R******* at D*** P****,2|Bandung|Hotel|Bandung
70692,S*** ON 2*** R**** T*** Ei G**** H****,2|Karo|Bed & breakfast|Merdeka
84658,R**** S**** B*********,3|Balikpapan|Hotel|Sepinggan
76635,K*** P********* (******** P****** H**** P**********,3|Pekalongan|Hotel|Poncol
70658,O** 3*** K******,2|Karo|Hotel|Merdeka
84266,L*** S*** R***** by B***,3|Lombok|Resort|Teluknarat
73260,S*** ON 3*** E***** T****** H****,2|Bogor|Hotel|Bogor
81474,S***** B******** V*****,4|Bali|Villa|Seminyak
83110,A** P**** H****,3|Bali|Hotel|Bali
70960,d***** H****,3|Medan|Hotel|Medan
75953,R******* R***** S****** n*** D********* C***** S*****,2|Subang|Hotel|Ciater
81019,R**** M****** V***** By Z***,3|Bali|Villa|JImbaran
75698,O** 1** D*** s H*** H****,3|Bandung|Hotel|Dago Atas
84666,S**** O** 3*** W**** C***** A****,2|Balikpapan|Hotel|Balikpapan
83087,P****** at B**** 2,3|Bali|Resort|Ubud
74281,O** 3*** P*** S****** I**,2|Jakarta|Hotel|Central Jakarta
69886,J*** P******* R*****,0|Jepara|Hotel|Jepara
75971,A*** F***** V****,1|Bandung|Villa|Lembang
84882,A*** P***** L***** S**** O** 2** M*******,2|Makassar|Hotel|Makassar
