id,name,features
75934,O** 9**** E***** H**** By D**** H**********,2|Bandung|Hotel|Bandung
85284,K***** H**** L***** B***,3|Labuan Bajo|Hotel|Labuan Bajo
71585,P**** P*** H**** P********,4|Pekanbaru|Hotel|Simpang Tiga
78985,R******* S****** @ M*******,1|Mojokerto|Hotel|Magersari
83281,P*** G***** H****,4|Bali|Hotel|Denpasar
82404,K***** H**** M****** by D****,2|Bali|Hotel|Kuta
75098,R**** T**** D****** B******,0|Bandung|Hotel|Bandung
83613,K********* U*** P****** V*****,0|Bali|Hotel|Ubud
74739,P******* T***** R***** C***** P*****,3|Puncak|Resort|Ciloto Puncak
73191,R******* n*** S****** C*** M***,2|Jakarta|Guest House|Grogol/Roxy - West Jakarta
83119,T**** S****** B*******,3|Bali|Guest House|Denpasar
71324,A*** P***** B**** B**** K*******,0|Padang|Hotel|Padang
78795,R******* @ P**** M*****,2|Malang|Hotel|Malang city
79913,Z*** H**** J********,3|Surabaya|Hotel|Jemursari
84388,L***** R***,4|Lombok|Hotel|Mataram
81771,A*** L***** P***** K*** B***,0|Bali|Hotel|Kuta
76264,O** 9**** S*** H****,2|Cirebon|Bed & breakfast|Kedawung
77549,O** 1*** H**** P*** P**** R***,2|Yogyakarta|Hostel/Backpacker accommodation|Catur Tunggal
71890,R******* P****** n*** G**** B**** M***,3|Batam|Hotel|Batam Center
82089,K***** R**** S******* B***,3|Bali|Hotel|Seminyak
69790,P***** H**** T****** U***,0|Bintan|Hotel|Bintan
70407,H**** M*** P******,0|Sumatra|Hotel|Sumatra
84510,S**** K***** H**** a** R********* L*****,2|Lombok|Hotel|Lombok Timur
76910,O** 9**** C****** M**** H******* S******,2|Yogyakarta|Bed & breakfast|Yogyakarta
70210,H**** P**** P********,0|Purworejo|Hotel|Purworejo
80019,O** 3*** G***** A****,2|Surabaya|Hotel|Surabaya
71636,O** 7** G**** M****** G**** H****,2|Bengkulu|Guest House|Sungai Serut
83018,R**** V**** J****,3|Bali|Hotel|Denpasar
79342,H***** H**** a** C********** M*****,4|Malang|Hotel|Malang city
85803,W**** D*** R*****,2|Raja Ampat|Guest House|Waisai
72936,R******* P*** n*** S******* H**** A****** 2,3|Tangerang|Hotel|Bandara
74955,I** C*** H**** J******* P****** By A**********,2|Cikarang|Hotel|Cikarang Utara
71464,H**** D******* S***** P****,2|Jambi|Hotel|Jambi
77266,I******* H**** J*********,4|Yogyakarta|Hotel|Sleman
81960,R****** V****,3|Bali|Hotel|Denpasar
69820,W**** B*** I****,2|Bulukumba|Hotel|Bulukumba
78442,R******* n*** S****** T**** K****,2|Kudus|Hotel|Kudus
71903,R******* P*** n*** N***** H*** B**** 6,3|Batam|Hotel|Batam
69962,H**** S**** B********,0|Kalimantan|Hotel|Kalimantan
83161,G**** P***** B***,4|Bali|Hotel|Sanur
83164,P****** H**** T****,3|Bali|Hotel|Ubud
85585,O** 2*** P**** K**** R****,2|Manado|Hostel/Backpacker accommodation|Malalayang
69929,H**** R**** B*********,0|Kalimantan|Hotel|Kalimantan
74430,O** 1*** K*** A*** 1,2|Jakarta|Hotel|East Jakarta
74847,V**** K*** B**** V*****,4|Cipanas|Villa|Cipanas
76736,A****** H*******,3|Yogyakarta|Bed & breakfast|Yogyakarta
83314,P******* U*** H**** a** R*****,5|Bali|Resort|Ubud
81052,M**** V**** by I** V** H**********,4|Bali|Villa|Canggu
76302,A*** A*** A*** K******** S******** 1** C******,2|Cirebon|Hotel|Kejaksan
75753,H**** A****** L******,2|Bandung|Hotel|Lembang
77359,O** 1*** E***** F***** H*******,2|Yogyakarta|Hostel/Backpacker accommodation|Sleman
72041,H***** H**** B****,4|Batam|Hotel|Nongsa
81908,Z** R**** m****** L***** K***,0|Bali|Hotel|Kuta
79927,O** 9**** I***** T******** F***** R********,2|Surabaya|Bed & breakfast|Tenggilis Mejoyo
82516,A*** S** N*** D** P***** S*** 8 B**** B***,0|Bali|Hotel|Nusa Dua
81601,A***** L*****,2|Bali|Hotel|Legian
75417,R******* P*** @ C******** S***** 3,3|Bandung|Hotel|Cicendo
82252,A*** S***** R****** (****,0|Bali|Hotel|Denpasar
85380,An N** H******* B*** B****,1|Bira|Hotel|Bira
83914,S***** W**** B**** C*******,4|Bali|Hotel|Candidasa
74771,L***** P***** R***** (******** Z*** R***** C*******,3|Puncak|Hotel|Cipanas
77101,M****** H**** M********,3|Yogyakarta|Hotel|Gedongtengen
84759,O** 3*** H**** T********,2|Samarinda|Hotel|Samarinda
81464,W***** R******* B******,3|Bali|Hotel|Bedugul
83311,P******* B***,3|Bali|Hotel|Denpasar
78468,P**** R*****,3|Kudus|Hotel|Kudus
81671,T** S***** L***** - M******* s A******** C********* H*****,5|Bali|Hotel|Kuta
71472,O** 1*** F******** H*******,2|Pekanbaru|Hostel/Backpacker accommodation|Tampan
84185,G***** H*******,2|Lombok|Hotel|Gili Trawangan
83932,B*** S******* B**** C***,3|Bali|Hotel|Candidasa
77875,G**** O***** Y*********,2|Yogyakarta|Hotel|Sleman
75730,S****** G**** H****,0|Bandung|Hotel|Bandung
73822,R******* S****** n*** M******* R***,2|Depok|Hotel|Margonda
74304,G**** S****** S****** R*********,1|Jakarta|Hotel|Senen/Tugu Tani - Central Jakarta
77326,S**** H*** H****,2|Yogyakarta|Hotel|Yogyakarta
81057,T** G****** H**** C*****,2|Bali|Hotel|Canggu
73134,R******* P*** @ TB S*********,3|Jakarta|Hotel|Cilandak - South Jakarta
76337,O** 8** A*** B*** H****,2|Pangandaran|Hotel|Pangandaran
76520,G****** H***** P********* R*********,2|Purwokerto|Hotel|Banyumas
82498,O** 2*** S**** S*** R********,2|Bali|Hotel|Denpasar
82803,S**** O** C****** O 9**** V** S*** P*****,2|Bali|Bed & breakfast|Denpasar
77974,O** 9**** Z***** W********,2|Semarang|Bed & breakfast|Semarang
74630,R********* by R******* n*** T**** S*****,2|Bogor|Hotel|Bogor
79356,O*** K********* R********* n*** S****** M***** K*** B***,1|Malang|Hotel|Blimbing
