id,name,features
69690,K**** H****,0|Banda Aceh|Hotel|Banda Aceh
69691,S***** H****,0|Banda Aceh|Hotel|Banda Aceh
69692,G**** L***** H****,0|Banda Aceh|Hotel|Banda Aceh
69693,G**** A*** H****,0|Banda Aceh|Hotel|Banda Aceh
69694,H**** B*** H***,0|Banda Aceh|Hotel|Banda Aceh
69695,H**** M****** K*** S***********,0|Banda Aceh|Hotel|Banda Aceh
69696,T** 5 H****,0|Banda Aceh|Hotel|Banda Aceh
69697,H**** B**** R*** B****,0|Banda Aceh|Hotel|Banda Aceh
69698,A***** H******* M*******,0|Banda Aceh|Hotel|Banda Aceh
69699,C****** H****,0|Banda Aceh|Hotel|Banda Aceh
69700,H**** M******* B******,0|Banda Aceh|Hotel|Banda Aceh
69701,H**** M****,0|Banda Aceh|Hotel|Banda Aceh
69702,P***** O** S*** S*******,0|Banda Aceh|Hotel|Banda Aceh
69703,H**** G******,0|Banda Aceh|Hotel|Banda Aceh
69704,F***** H****,0|Banda Aceh|Hotel|Banda Aceh
69705,P**** I** T*******,0|Banda Aceh|Hotel|Banda Aceh
69706,M***** H**** A***,0|Banda Aceh|Hotel|Banda Aceh
69707,B*** R****** S*** R*****,0|Banda Aceh|Hotel|Banda Aceh
69708,H**** B** D***,0|Banda Aceh|Hotel|Banda Aceh
69709,H**** M**** B & B,0|Banda Aceh|Hotel|Banda Aceh
69710,H**** M*******,0|Banda Aceh|Hotel|Banda Aceh
69711,F**** B****** H****,0|Banda Aceh|Hotel|Banda Aceh
69712,H**** G**** A******,0|Banda Aceh|Hotel|Banda Aceh
69713,C******** H****,0|Banda Aceh|Hotel|Banda Aceh
69714,H**** L*****,0|Banda Aceh|Hotel|Banda Aceh
69715,H**** A*****,3|Banda Aceh|Hotel|Banda Aceh
69716,R**** G*********,0|Banda Aceh|Hotel|Banda Aceh
69717,H**** A****,0|Banda Aceh|Hotel|Banda Aceh
69718,E** S** H****,0|Banda Aceh|Hotel|Banda Aceh
69719,A***** H*******,0|Banda Aceh|Hotel|Banda Aceh
69720,H**** G*****,0|Bandar Lampung|Hotel|Bandar Lampung
69721,H**** N******,4|Bandar Lampung|Hotel|Bandar Lampung
69722,H**** S****** K***,0|Bandar Lampung|Hotel|Bandar Lampung
69723,H**** A**** C******,2|Bandar Lampung|Hotel|Bandar Lampung
69724,H**** G**** W*****,0|Bandar Lampung|Hotel|Bandar Lampung
69725,T**** K****** B******,0|Bandar Lampung|Hotel|Bandar Lampung
69726,H**** D***,0|Bandar Lampung|Hotel|Bandar Lampung
69727,D*** B****** H*******,0|Bandar Lampung|Hotel|Bandar Lampung
69728,G**** V******* L******,0|Bandar Lampung|Hotel|Bandar Lampung
69729,G S****** B***** L******,0|Bandar Lampung|Hotel|Bandar Lampung
69730,G***** S****** B***** L******,0|Bandar Lampung|Hotel|Bandar Lampung
69731,H**** S*******,0|Bandar Lampung|Hotel|Bandar Lampung
69732,De S**** D***,0|Bandung|Hotel|Bandung
69733,V**** S*******,0|Bandung|Hotel|Bandung
69734,S****** P********** - G**** H****,0|Bandung|Hotel|Bandung
69735,S******** B**** S****** G*********,0|Bandung|Hotel|Bandung
69736,A******** L**** & B***** B**************,0|Bandung|Hotel|Bandung
69737,G******** I**,2|Bandung|Hotel|Bandung
69738,H**** K*** G*****,0|Bandung|Hotel|Bandung
69739,T**** P****,2|Bandung|Hotel|Bandung
69740,H**** Y***** M*****,0|Bangka|Hotel|Bangka
69741,H**** B**,4|Bangka|Hotel|Bangka
69742,G**** S***** H****,0|Banjar|Hotel|Banjar
69743,H**** D** S******,0|Banjar|Hotel|Banjar
69744,H**** K******,3|Banjarbaru|Hotel|Banjarbaru
69745,G**** C****** B**********,1|Banjarmasin|Hotel|Banjarmasin
69746,S**** H**** P********,0|Banjarmasin|Hotel|Banjarmasin
69747,Q I** H**** B******,0|Banjarmasin|Hotel|Banjarmasin
69748,G**** S**** K*** B***,0|Banjarmasin|Hotel|Banjarmasin
69749,M***** B******,0|Banjarmasin|Hotel|Banjarmasin
69750,S**** H**** B**********,0|Banjarmasin|Hotel|Banjarmasin
69751,H**** N***** B***********,0|Banjarnegara|Hotel|Banjarnegara
69752,S****** R*****,4|Banten|Hotel|Banten
69753,H**** B*** K********,0|Banten|Hotel|Banten
69754,H**** O***** S******,0|Banten|Hotel|Banten
69755,N**** T******** H**** S*****,2|Banten|Hotel|Banten
69756,T** S***** H****,0|Banten|Hotel|Banten
69757,C**** H**** (***** K******,0|Banten|Hotel|Banten
69758,D****** H**** P*********,0|Banyumas|Hotel|Banyumas
69759,N** S**** B*********,0|Banyuwangi|Hotel|Banyuwangi
69760,B**** H**** T****** U*****,3|Batam|Hotel|Batam
69761,B**** H**** B**** T****** U*****,0|Batam|Hotel|Batam
69762,B*** W********* W******** & R***** H****,0|Batu|Hotel|Batu
69763,L***** M**** R*****,3|Batu|Hotel|Batu
69764,G***** H*** by G***** T****,4|Batu|Hotel|Batu
69765,W**** P******,0|Batubara|Hotel|Batubara
69766,M****** I** H**** S******,2|Batubara|Hotel|Batubara
69767,H**** H****** B********,0|Batulicin|Hotel|Batulicin
69768,H**** C***** I**,0|Batulicin|Hotel|Batulicin
69769,L**** B*******,0|Baturaja|Hotel|Baturaja
69770,E****** H**** A** R***** B*** S******,4|Batusangkar|Hotel|Batusangkar
69771,C****** B**** H****,4|Baubau|Hotel|Baubau
69772,H**** B**,0|Belitung|Hotel|Belitung
69773,H**** B*******,0|Bengkulu|Hotel|Bengkulu
69774,H**** V******* I**,0|Bengkulu|Hotel|Bengkulu
69775,H**** D**** G***,0|Bengkulu|Hotel|Bengkulu
69776,H**** A**** M*******,4|Bengkulu|Hotel|Bengkulu
69777,H**** S*******,0|Bengkulu|Hotel|Bengkulu
69778,H**** S******* P**** H****,0|Bengkulu|Hotel|Bengkulu
69779,A***** H****,0|Berastagi|Hotel|Berastagi
69780,U**** H****,0|Berastagi|Hotel|Berastagi
69781,H**** K***** U**,0|Berastagi|Hotel|Berastagi
69782,G**** M****** H**** B********,4|Berastagi|Hotel|Berastagi
69783,M***** H**** & C********* C*****,0|Berau|Hotel|Berau
