id,name,features
70704,R******* n*** M******** T**** S***** M**** 2,2|Medan|Guest House|Medan
70710,H**** G**** N******** By Z***,1|Medan|Bed & breakfast|Medan
70712,S** I** S****** M**** S******,2|Medan|Guest House|Medan Sunggal
70713,O** 1*** J** - Je G**** H****,2|Medan|Hotel|Medan
70714,J**** G**** H**** M**** R*********,1|Medan|Hotel|Medan Tuntungan
70734,Z** R**** S******** S****** M****,2|Medan|Guest House|Medan Sunggal
70738,S** R******** C******,2|Medan|Hotel|Medan
70740,S*** ON 2*** C**** A***** R******** S******,2|Medan|Hotel|Medan
70742,R******* @ J**** G**** H**** M****,2|Medan|Bed & breakfast|Medan
70754,A*** M**** S****** Dr M****** 1**,0|Medan|Hotel|Medan
70755,R******* P*** @ S******** M**** 5,3|Medan|Bed & breakfast|Medan
70767,O** 9**** T******,2|Medan|Bed & breakfast|Medan
70813,O** 1*** P*******,2|Medan|Bed & breakfast|Medan
70815,H***** H**** M****,2|Medan|Hotel|Medan
70819,O***** C*** M****,3|Medan|Hotel|Medan
70820,G**** K***** H****,3|Medan|Hotel|Medan Petisah
70826,O** 1*** D**** R******** S******,2|Medan|Bed & breakfast|Medan
70829,R***** M****,3|Medan|Hotel|Medan
70836,R******* @ S****** P** M****,2|Medan|Bed & breakfast|Medan
70860,O** 9** H**** T****** S******,2|Medan|Hotel|Medan Petisah
70865,A*** R******** n*** J**** I******* M*** M**** R*********,2|Medan|Hotel|Medan City Center
70868,O** 9**** W****** U**,2|Medan|Hotel|Medan
70880,O** 9**** K******* K***,2|Medan|Bed & breakfast|Medan
70883,S****** H**** M****,3|Medan|Bed & breakfast|Medan Petisah
70890,P**** I**,2|Medan|Bed & breakfast|Medan
70894,C******** H**** M****,5|Medan|Hotel|Medan Petisah
70902,O** 2*** B**** R*** R********,2|Medan|Hotel|Medan
70919,T******** I** R*********,1|Medan|Hotel|Medan
70925,C***** H**** M****,1|Medan|Hotel|Medan Petisah
